Date,Delivered,Sales,code_dept
01-2014,12478.0,5976.0,01
02-2014,11013.0,5526.0,01
03-2014,11988.0,6764.0,01
04-2014,11952.0,6396.0,01
05-2014,11690.0,6160.0,01
06-2014,10854.0,5847.0,01
07-2014,14095.0,7191.0,01
08-2014,14803.0,7647.0,01
09-2014,13783.0,6968.0,01
10-2014,12690.0,6237.0,01
11-2014,11027.0,5367.0,01
12-2014,11966.0,6079.0,01
01-2015,13961.0,6732.0,01
02-2015,10883.0,5609.0,01
03-2015,11854.0,5714.0,01
04-2015,11205.0,5573.0,01
05-2015,10620.0,5379.0,01
06-2015,10715.0,5705.0,01
07-2015,13161.0,6581.0,01
08-2015,13685.0,6733.0,01
09-2015,12647.0,5920.0,01
10-2015,13232.0,5741.0,01
11-2015,12938.0,5605.0,01
12-2015,11909.0,5581.0,01
01-2016,10579.0,4515.0,01
02-2016,10908.0,4909.0,01
03-2016,10968.0,5098.0,01
04-2016,10347.0,4825.0,01
05-2016,9705.0,4731.0,01
06-2016,10326.0,5097.0,01
07-2016,10861.0,5508.0,01
08-2016,10861.0,6000.0,01
09-2016,10486.0,4939.0,01
10-2016,10960.0,5057.0,01
11-2016,11354.0,5138.0,01
12-2016,10966.0,5120.0,01
01-2014,6249.0,2864.0,02
02-2014,5840.0,2575.0,02
03-2014,6253.0,3169.0,02
04-2014,6090.0,2929.0,02
05-2014,6098.0,2843.0,02
06-2014,5558.0,2748.0,02
07-2014,6205.0,2906.0,02
08-2014,5701.0,2878.0,02
09-2014,6617.0,2930.0,02
10-2014,6181.0,2960.0,02
11-2014,5583.0,2629.0,02
12-2014,5339.0,2640.0,02
01-2015,6152.0,3174.0,02
02-2015,5174.0,2578.0,02
03-2015,5267.0,2545.0,02
04-2015,5738.0,2822.0,02
05-2015,5561.0,2667.0,02
06-2015,5850.0,2855.0,02
07-2015,5652.0,2840.0,02
08-2015,5348.0,2628.0,02
09-2015,5715.0,2729.0,02
10-2015,7867.0,3020.0,02
11-2015,7672.0,2990.0,02
12-2015,6068.0,2866.0,02
01-2016,5768.0,2603.0,02
02-2016,6032.0,2399.0,02
03-2016,6005.0,2482.0,02
04-2016,4991.0,2335.0,02
05-2016,4744.0,2159.0,02
06-2016,4957.0,2411.0,02
07-2016,4654.0,2166.0,02
08-2016,4265.0,2220.0,02
09-2016,4955.0,2260.0,02
10-2016,5658.0,2294.0,02
11-2016,5896.0,2602.0,02
12-2016,5268.0,2450.0,02
01-2014,9083.0,4249.0,03
02-2014,8384.0,3888.0,03
03-2014,9226.0,4835.0,03
04-2014,9306.0,4895.0,03
05-2014,9042.0,4777.0,03
06-2014,8426.0,4371.0,03
07-2014,11437.0,5902.0,03
08-2014,10915.0,6052.0,03
09-2014,10212.0,5141.0,03
10-2014,9572.0,4741.0,03
11-2014,8206.0,4143.0,03
12-2014,8991.0,4221.0,03
01-2015,9705.0,4680.0,03
02-2015,7682.0,3886.0,03
03-2015,8395.0,3988.0,03
04-2015,8527.0,4049.0,03
05-2015,8149.0,4132.0,03
06-2015,8540.0,4270.0,03
07-2015,10134.0,5072.0,03
08-2015,10022.0,5218.0,03
09-2015,9270.0,4235.0,03
10-2015,9713.0,4370.0,03
11-2015,9393.0,4026.0,03
12-2015,8216.0,3873.0,03
01-2016,7572.0,3382.0,03
02-2016,7717.0,3404.0,03
03-2016,7845.0,3583.0,03
04-2016,7842.0,3632.0,03
05-2016,7972.0,3715.0,03
06-2016,8190.0,3743.0,03
07-2016,9081.0,4419.0,03
08-2016,9102.0,4946.0,03
09-2016,8936.0,3815.0,03
10-2016,8709.0,3883.0,03
11-2016,9387.0,3980.0,03
12-2016,8593.0,3770.0,03
01-2014,5148.0,2612.0,04
02-2014,5205.0,2731.0,04
03-2014,6610.0,3550.0,04
04-2014,6330.0,3187.0,04
05-2014,6418.0,3374.0,04
06-2014,6181.0,3424.0,04
07-2014,8843.0,5402.0,04
08-2014,10062.0,6315.0,04
09-2014,7501.0,4017.0,04
10-2014,6218.0,3249.0,04
11-2014,5086.0,2404.0,04
12-2014,5075.0,2468.0,04
01-2015,5287.0,2601.0,04
02-2015,4966.0,2736.0,04
03-2015,5878.0,2696.0,04
04-2015,5561.0,2721.0,04
05-2015,5300.0,2590.0,04
06-2015,6115.0,3066.0,04
07-2015,8294.0,4824.0,04
08-2015,9296.0,5362.0,04
09-2015,7188.0,3261.0,04
10-2015,6193.0,2936.0,04
11-2015,5614.0,2289.0,04
12-2015,5028.0,2196.0,04
01-2016,4606.0,1952.0,04
02-2016,5236.0,2091.0,04
03-2016,5423.0,2173.0,04
04-2016,5047.0,2260.0,04
05-2016,5046.0,2361.0,04
06-2016,5457.0,2696.0,04
07-2016,6836.0,3790.0,04
08-2016,7142.0,4639.0,04
09-2016,5772.0,2971.0,04
10-2016,5851.0,2663.0,04
11-2016,6440.0,2274.0,04
12-2016,5608.0,2167.0,04
01-2014,7405.0,3792.0,05
02-2014,9505.0,5007.0,05
03-2014,10794.0,6107.0,05
04-2014,6844.0,3262.0,05
05-2014,5220.0,2243.0,05
06-2014,5062.0,2521.0,05
