code_dept,Segment
D01,Enseignes
D01,Presse
D01,Bars
D01,Presse
D01,Presse
Relais,Relais
D01,Enseignes
D01,Presse
D01,Presse
D01,Enseignes
D01,Presse
D01,Presse
D01,Enseignes
D01,Presse
D01,Supermarchés
Relais,Relais
D01,Enseignes
D01,Enseignes
D01,Presse
D01,Bars
D01,Alimentation
D01,Enseignes
D01,Bars
D01,Enseignes
D01,Presse
D01,Presse
D01,Presse
D01,Enseignes
D01,Presse
D01,Enseignes
D01,Enseignes
Relais,Relais
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Enseignes
D01,Bars
D01,Alimentation
D01,Enseignes
D01,Presse
D01,Enseignes
D01,Enseignes
D01,Presse
D01,Presse
D01,Enseignes
D01,Presse
D01,Supermarchés
D01,Enseignes
D01,Presse
D01,Presse
D01,Enseignes
D01,Enseignes
D01,Alimentation
D01,Enseignes
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Bars
D01,Enseignes
D01,Enseignes
D01,Presse
D01,Presse
D01,Presse
D01,Enseignes
D01,Supermarchés
D01,Enseignes
D01,Presse
D01,Enseignes
D01,Enseignes
D01,Enseignes
D01,Bars
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Alimentation
D01,Presse
D01,Presse
D01,Presse
D01,Alimentation
D01,Alimentation
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Supermarchés
D06,Presse
D01,Presse
D01,Transports
D01,Presse
D01,Alimentation
D01,Enseignes
D01,Supermarchés
D01,Presse
D01,Enseignes
D01,Presse
D01,Relais
D01,Presse
D01,Supermarchés
D01,Transports
D01,Presse
D01,Enseignes
D01,Presse
D01,Transports
D01,Enseignes
D01,Presse
D01,Presse
D01,Supermarchés
D01,Supermarchés
D01,Enseignes
D01,Supermarchés
D01,Alimentation
D01,Presse
D01,Presse
D01,Supermarchés
D01,Transports
D01,Supermarchés
D01,Autres
D01,Presse
D01,Transports
D01,Transports
D01,Presse
D01,Supermarchés
D01,Supermarchés
D01,Autres
D01,Presse
D01,Bars
D01,Presse
D01,Presse
D01,Presse
D01,Presse
D01,Autres
D01,Supermarchés
D01,Autres
D01,Supermarchés
D01,Supermarchés
D02,Bars
D02,Bars
D02,Enseignes
D02,Enseignes
D02,Enseignes
D02,Presse
D02,Supermarchés
D02,Supermarchés
D02,Bars
D02,Presse
D02,Enseignes
D02,Bars
D02,Presse
D02,Presse
D02,Bars
D02,Enseignes
D02,Presse
D02,Bars
D02,Enseignes
D02,Bars
D02,Enseignes
D02,Enseignes
D02,Enseignes
Relais,Relais
D02,Enseignes
D02,Presse
D02,Presse
D02,Presse
D02,Presse
D02,Enseignes
D02,Enseignes
D02,Presse
D02,Presse
D02,Presse
D02,Enseignes
D02,Presse
D02,Presse
D02,Presse
D02,Presse
D02,Enseignes
D02,Bars
D02,Bars
D02,Bars
D02,Presse
D02,Bars
D02,Enseignes
D02,Enseignes
D02,Bars
D02,Bars
D02,Presse
D02,Bars
D02,Bars
D02,Bars
D02,Presse
D02,Presse
D02,Bars
D02,Supermarchés
D02,Enseignes
D02,Enseignes
D02,Enseignes
D02,Enseignes
D02,Presse
Relais,Relais
D02,Presse
D02,Relais
D02,Supermarchés
D02,Bars
D02,Alimentation
D02,Supermarchés
D02,Supermarchés
D02,Presse
D02,Presse
D02,Enseignes
D02,Presse
D02,Autres
D02,Presse
D02,Supermarchés
D02,Presse
D02,Bars
D02,Bars
D02,Relais
D02,Supermarchés
D02,Supermarchés
D02,Bars
D02,Bars
D02,Bars
D03,Presse
D03,Presse
D03,Presse
D03,Bars
D03,Supermarchés
D03,Presse
D03,Bars
D03,Presse
D03,Enseignes
D03,Presse
D03,Enseignes
D03,Presse
D03,Presse
D03,Presse
D03,Bars
D03,Enseignes
D03,Presse
D03,Presse
D03,Supermarchés
D03,Presse
D03,Presse
D03,Presse
D03,Presse
D03,Presse
D03,Bars
D03,Presse
D03,Presse
D03,Presse
Relais,Relais
D03,Presse
D03,Presse
D03,Enseignes
D03,Presse
D03,Presse
D03,Bars
D03,Enseignes
Relais,Relais
D03,Supermarchés
D03,Bars
D03,Bars
D03,Presse
D03,Presse
D03,Presse
D03,Bars
D03,Presse
Relais,Relais
D03,Supermarchés
D03,Supermarchés
D03,Presse
D03,Bars
D03,Presse
D03,Presse
D03,Presse
D03,Enseignes
D03,Presse
D03,Presse
D03,Presse
D03,Bars
D03,Enseignes
D03,Bars
D03,Supermarchés
D03,Presse
D03,Presse
D03,Presse
D03,Presse
D03,Presse
D03,Presse
D03,Presse
D03,Kiosques
D03,Bars
D03,Presse
D03,Bars
D03,Presse
D03,Presse
D03,Presse
D03,Supermarchés
Relais,Relais
Relais,Relais
D03,Presse
D03,Presse
D03,Presse
D03,Bars
D03,Presse
D03,Supermarchés
D03,Supermarchés
D03,Supermarchés
D03,Bars
D03,Supermarchés
D03,Presse
D03,Supermarchés
D03,Supermarchés
D03,Supermarchés
D03,Autres
D03,Supermarchés
D04,Presse
D04,Enseignes
D04,Presse
D04,Presse
D04,Presse
D04,Presse
D04,Presse
D04,Enseignes
D04,Presse
D04,Presse
D04,Presse
D04,Presse
D04,Presse
D04,Enseignes
D04,Presse
D04,Enseignes
D04,Presse
D04,Bars
D04,Presse
D04,Presse
D04,Presse
D04,Presse
D04,Presse
D04,Supermarchés
D04,Supermarchés
D04,Supermarchés
D04,Bars
D04,Bars
D04,Presse
D04,Presse
D04,Enseignes
D04,Presse
D04,Enseignes
D04,Presse
D04,Presse
D04,Presse
D04,Bars
D04,Presse
D04,Enseignes
D04,Supermarchés
D04,Enseignes
D04,Presse
D04,Presse
D04,Alimentation
D04,Presse
D04,Presse
D04,Presse
D04,Bars
D04,Enseignes
D04,Presse
D04,Bars
D04,Presse
D04,Presse
D04,Presse
D04,Relais
D04,Presse
D04,Presse
D04,Presse
D04,Supermarchés
D04,Presse
D04,Supermarchés
D04,Supermarchés
D04,Presse
D04,Presse
D04,Alimentation
D04,Alimentation
D04,Bars
D04,Presse
D04,Alimentation
D04,Bars
D04,Presse
D04,Alimentation
D04,Presse
D04,Relais
D04,Bars
D04,Autres
D04,Supermarchés
D04,Alimentation
D04,Alimentation
D04,Bars
D04,Alimentation
D04,Alimentation
D04,Bars
D04,Presse
D05,Presse
D05,Bars
D05,Presse
D05,Bars
D05,Presse
D05,Bars
D05,Enseignes
