code_dept,Ville
01,Ambérieu-en-Bugey
01,Ambérieux-en-Dombes
01,Ambronay
01,Arbent
01,Ars-sur-Formans
01,Attignat
01,Bâgé-le-Châtel
01,Beauregard
01,Bellegarde-sur-Valserine
01,Belley
01,Virieu-le-Grand
01,Bellignat
01,Beynost
01,Bourg-en-Bresse
01,Viriat
01,Saint-Denis-lès-Bourg
01,Hauteville-Lompnes
01,Ceyzériat
01,Ceyzérieu
01,Chalamont
01,Baneins
01,Châtillon-sur-Chalaronne
01,Chazey-sur-Ain
01,Coligny
01,Cormoz
01,Culoz
01,Dagneux
01,Divonne-les-Bains
01,Dortan
01,Chaleins
01,Ferney-Voltaire
01,Gex
01,Ornex
01,Saint-Genis-Pouilly
01,Grièges
01,Jassans-Riottier
01,Jasseron
01,Jujurieux
01,Boisse
01,Montréal-la-Cluse
01,Lagnieu
01,Lent
01,Lhuis
01,Loyettes
01,Replonges
01,Saint-Laurent-sur-Saône
01,Marboz
01,Marlieux
01,Messimy-sur-Saône
01,Meximieux
01,Mézériat
01,Mionnay
01,Miribel
01,Montluel
01,Montmerle-sur-Saône
01,Montrevel-en-Bresse
01,Nantua
01,Neuville-sur-Ain
01,Neyron
01,Niévroz
01,Oyonnax
01,Ozan
01,Péronnas
01,Polliat
01,Poncin
01,Pont-de-Vaux
01,Pont-de-Veyle
01,Reyrieux
01,Sault-Brénaz
01,Serrières-de-Briord
01,Servas
01,Saint-André-de-Bâgé
01,Saint-Bernard
01,Saint-Cyr-sur-Menthon
01,Saint-Étienne-du-Bois
01,Saint-Germain-de-Joux
01,Saint-Jean-de-Gonville
01,Saint-Julien-sur-Reyssouze
01,Saint-Just
01,Saint-Maurice-de-Beynost
01,Saint-Maurice-de-Gourdans
01,Saint-Paul-de-Varax
01,Saint-Rambert-en-Bugey
01,Saint-Trivier-de-Courtes
01,Tenay
01,Thoiry
01,Tossiat
01,Tramoyes
01,Val-Revermont
01,Trévoux
01,Vaux-en-Bugey
01,Villars-les-Dombes
01,Villereversure
01,Villieu-Loyes-Mollon
01,Vonnas
06,Carros
01,Saint-Jean-le-Vieux
01,Sainte-Euphémie
01,Port
01,Massieux
01,Châtillon-en-Michaille
01,Virignin
01,Leyment
01,Pont-d'Ain
01,Neuville-les-Dames
01,Mijoux
01,Versonnex
01,Bressolles
01,Dompierre-sur-Veyle
01,Balan
01,Billiat
01,Cessy
01,Neyrolles
01,Ceignes
01,Vesancy
01,Thil
01,Nurieux-Volognat
01,Brégnier-Cordon
01,Péron
01,Confort
01,Collonges
01,Prévessin-Moëns
01,Corbonod
01,Laiz
01,Blyes
01,Feillens
01,Thoissey
06,Menton
01,Saint-Sorlin-en-Bugey
01,Béligneux
01,Groissiat
01,Jayat
01,Saint-Denis-en-Bugey
01,Montagnat
01,Crozet
01,Izernore
01,Saint-Martin-du-Mont
01,Villeneuve
01,Villebois
02,Anizy-le-Château
02,Pinon
02,Prémontré
02,Aubenton
02,Bohain-en-Vermandois
02,Boué
02,Bourg-et-Comin
02,Braine
02,Chassemy
02,Château-Thierry
02,Chézy-sur-Marne
02,Crézancy
02,Essômes-sur-Marne
02,Jaulgonne
02,Nogentel
02,Chauny
02,Quierzy
02,Autreville
02,Essigny-le-Grand
02,Alaincourt
02,Moÿ-de-l'Aisne
02,Vendeuil
02,Étreillers
02,Holnon
02,Savy
02,Étreux
02,Tergnier
02,Fère-en-Tardenois
02,Flavy-le-Martel
02,Montescourt-Lizerolles
02,Saint-Simon
02,Folembray
02,Coucy-le-Château-Auffrique
02,Fonsomme
02,Seboncourt
02,Guignicourt
02,Neufchâtel-sur-Aisne
02,Guise
02,Wassigny
02,Hirson
02,Capelle
02,Fère
02,Achery
02,Beautor
02,Danizy
02,Charmes
02,Laon
02,Athies-sous-Laon
02,Couvron-et-Aumencourt
02,Crépy
02,Marle
02,Mons-en-Laonnois
02,Vivaise
02,Nouvion-en-Thiérache
02,Dizy-le-Gros
02,Oulchy-le-Château
02,Origny-Sainte-Benoite
02,Fontaine-Notre-Dame
02,Jussy
02,Ribemont
02,Rozoy-sur-Serre
02,Brunehamel
02,Gizy
02,Montaigu
02,Saint-Erme-Outre-et-Ramecourt
02,Soissons
02,Acy
02,Belleu
02,Bucy-le-Long
02,Courmelles
02,Crouy
02,Cuffies
02,Mercin-et-Vaux
02,Septmonts
02,Venizel
02,Amigny-Rouy
02,Saint-Michel
02,Saint-Quentin
02,Bellicourt
02,Gercy
02,Gauchy
02,Harly
02,Homblières
02,Itancourt
02,Lehaucourt
02,Lesdins
02,Fresnoy-le-Grand
02,Montbrehain
02,Morcourt
02,Vailly-sur-Aisne
02,Vervins
02,Étréaupont
02,Harcigny
02,Plomion
02,Cœuvres-et-Valsery
02,Villers-Cotterêts
02,Liesse-Notre-Dame
02,Ferté-Milon
02,Villeneuve-Saint-Germain
02,Pommiers
02,Vaux-Andigny
02,Bellenglise
02,Rouvroy
02,Fayet
02,Chambry
02,Nogent-l'Artaud
02,Vermand
02,Beaurieux
02,Azy-sur-Marne
02,Montreuil-aux-Lions
02,Serain
02,Catelet
02,Charly-sur-Marne
02,Mézières-sur-Oise
02,Condé-en-Brie
02,Festieux
02,Any-Martin-Rieux
02,Gricourt
02,Chavignon
02,Ciry-Salsogne
02,Sissonne
02,Chierry
02,Missy-sur-Aisne
02,Montcornet
02,Seraucourt-le-Grand
02,Bruyères-et-Montbérault
02,Blérancourt
02,Coincy
02,Neuilly-Saint-Front
02,Vic-sur-Aisne
02,Beaurevoir
02,Berny-Rivière
02,Saint-Gobain
02,Sains-Richaumont
02,Ognes
02,Origny-en-Thiérache
02,Brancourt-le-Grand
03,Arfeuilles
03,Beaulon
03,Bellenaves
03,Berson
03,Seuillet
03,Bourbon-l'Archambault
03,Broût-Vernet
03,Buxières-les-Mines
03,Cérilly
03,Gouise
03,Châtel-de-Neuvre
03,Châtillon
03,Chevagnes
03,Commentry
03,Cosne-d'Allier
03,Domérat
03,Diou
03,Dompierre-sur-Besbre
03,Néris-les-Bains
03,Ébreuil
03,Estivareilles
03,Étroussat
03,Franchesse
03,Gannat
03,Hérisson
03,Huriel
03,Jaligny-sur-Besbre
03,Jenzat
03,Chapelaude
03,Lapalisse
03,Donjon
03,Mayet-d'École
03,Mayet-de-Montagne
03,Montet
03,Vernet
03,Lurcy-Lévis
03,Lusigny
03,Malicorne
03,Marcillat-en-Combraille
03,Meaulne
03,Molinet
03,Montaiguët-en-Forez
03,Montcombroux-les-Mines
03,Désertines
03,Montluçon
03,Montmarault
03,Montvicq
03,Moulins
03,Avermes
03,Yzeure
03,Neuilly-le-Réal
03,Noyant-d'Allier
03,Paray-le-Frésil
03,Pierrefitte-sur-Loire
03,Bézenet
03,Souvigny
03,Saint-Bonnet-Tronçais
03,Saint-Gérand-le-Puy
03,Saint-Germain-des-Fossés
03,Saint-Hilaire
03,Saint-Léon
03,Saint-Menoux
03,Saint-Pourçain-sur-Sioule
03,Saint-Rémy-en-Rollat
03,Saint-Yorre
03,Treban
03,Tronget
03,Perche
03,Vendat
03,Bellerive-sur-Allier
03,Cusset
03,Creuzier-le-Vieux
03,Vichy
03,Soissons
03,Villefranche-d'Allier
03,Ygrande
03,Prémilhat
03,Charmeil
03,Hauterive
03,Montbeugny
03,Doyet
03,Varennes-sur-Allier
03,Veurdre
03,Cressanges
03,Ainay-le-Château
03,Abrest
03,Couleuvre
03,Vallon-en-Sully
03,Ferrières-sur-Sichon
03,Chantelle
03,Toulon-sur-Allier
03,Treignat
03,Bessay-sur-Allier
04,Banon
04,Barcelonnette
04,Enchastrayes
04,Castellane
04,Château-Arnoux-Saint-Auban
04,Digne-les-Bains
04,Forcalquier
04,Gréoux-les-Bains
04,Valensole
04,Jausiers
04,Escale
04,Mées
04,Malijai
04,Manosque
04,Pierrevert
04,Villeneuve
04,Moustiers-Sainte-Marie
04,Annot
04,Entrevaux
04,Oraison
04,Peyruis
04,Uvernet-Fours
04,Reillanne
04,Riez
04,Seyne
04,Sisteron
04,Saint-André-les-Alpes
04,Allos
04,Colmars
04,Saint-Étienne-les-Orgues
04,Saint-Michel-l'Observatoire
04,Sainte-Tulle
04,Volonne
04,Volx
04,Mézel
04,Cruis
04,Quinson
04,Motte-du-Caire
04,Aiglun
04,Esparron-de-Verdon
04,Céreste
04,Peipin
04,Barrême
04,Roumoules
04,Saint-Martin-de-Brômes
04,Puimoisson
04,Brusquet
04,Noyers-sur-Jabron
04,Palud-sur-Verdon
04,Bras-d'Asse
05,Abriès
05,Aiguilles
05,Aspres-sur-Buëch
05,Briançon
05,Saint-Chaffrey
05,Montgenèvre
05,Ceillac
05,Chorges
05,Embrun
05,Réallon
05,Espinasses
05,Gap
05,Guillestre
05,Argentière-la-Bessée
05,Vigneaux
05,Chapelle-en-Valgaudémar
05,Chabottes
05,Saulce
05,Laragne-Montéglin
05,Val Buëch-Méouge
05,Grave
05,Villar-d'Arêne
05,Monêtier-les-Bains
05,Molines-en-Queyras
05,Saint-Jean-Saint-Nicolas
05,Serres
05,Saint-Bonnet-en-Champsaur
05,Tallard
05,Veynes
05,Salle-les-Alpes
05,Sainte-Marie
05,Puy-Saint-Vincent
05,Baratier
05,Vallouise
05,Névache
05,Saint-Martin-de-Queyrières
05,Roche-des-Arnauds
05,Villar-Saint-Pancrace
05,Freissinouse
05,Château-Ville-Vieille
05,Crots
05,Remollon
05,Orres
05,Bruis
05,Saint-Firmin
06,Breil-sur-Roya
06,Fontan
06,La Brigue
06,Saorge
06,Cagnes-sur-Mer
06,Villeneuve-Loubet
06,Cannes
06,Cannet
06,Mandelieu-la-Napoule
06,Mougins
06,Pégomas
06,Théoule-sur-Mer
06,Vallauris
06,Cabris
06,Châteauneuf-Grasse
06,Grasse
06,Tignet
06,Mouans-Sartoux
06,Peymeinade
06,Roquefort-les-Pins
