Date,Delivered,Sales
2014-01-31,2078554.0,1235643.0
2014-02-28,1912679.0,1122626.0
2014-03-31,2189357.0,1370618.0
2014-04-30,2146407.0,1287714.0
2014-05-31,2118410.0,1222796.0
2014-06-30,1958891.0,1176303.0
2014-07-31,2414514.0,1437800.0
2014-08-31,2275201.0,1419370.0
2014-09-30,2243168.0,1352698.0
2014-10-31,2055100.0,1213643.0
2014-11-30,1835688.0,1085405.0
2014-12-31,1895851.0,1116309.0
2015-01-31,2071462.0,1234795.0
2015-02-28,1724619.0,1052744.0
2015-03-31,1845296.0,1055136.0
2015-04-30,1861769.0,1063928.0
2015-05-31,1759148.0,1003273.0
2015-06-30,1876325.0,1090030.0
2015-07-31,2113420.0,1210996.0
2015-08-31,2032141.0,1165861.0
2015-09-30,1944863.0,1099194.0
2015-10-31,2012941.0,1060743.0
2015-11-30,2007579.0,1008452.0
2015-12-31,1847942.0,998891.0
2016-01-31,1752899.0,946246.0
2016-02-29,1793937.0,953586.0
2016-03-31,1790161.0,972625.0
2016-04-30,1669077.0,929504.0
2016-05-31,1624081.0,903118.0
2016-06-30,1736090.0,992800.0
2016-07-31,1927691.0,1070671.0
2016-08-31,1901153.0,1107314.0
2016-09-30,1847396.0,988505.0
2016-10-31,1847897.0,953118.0
2016-11-30,1963879.0,988519.0
2016-12-31,1800041.0,945869.0
