Kiosque,Ville,Implantation,Segment,Ruptures_sum,Ruptures_mean,Ruptures_min,Ruptures_max,Gravity
,,,,,,,,
10002,Ambérieu-en-Bugey,Dans La Rue,Enseignes/Concepts,82,27%,0,1,1
10003,Ambérieu-en-Bugey,Dans La Rue,Presse Tabac (Hors Bar),97,33%,0,1,1
10004,Ambérieu-en-Bugey,Boulangerie,Alimentation,3,25%,0,1,1
10008,Ambérieux-en-Dombes,Dans La Rue,Bars (Dont Tabac),45,16%,0,1,0
10015,Ars-sur-Formans,Dans La Rue,Bars (Dont Tabac),69,29%,0,1,1
10019,Bâgé-le-Châtel,Dans La Rue,Presse Tabac (Hors Bar),13,5%,0,1,-1
10023,Beauregard,Dans La Rue,Presse Tabac (Hors Bar),28,9%,0,1,-1
10033,Bellegarde-sur-Valserine,Dans La Rue,Presse Tabac (Hors Bar),1,8%,0,1,-1
10036,Belley,Dans La Rue,Enseignes/Concepts,46,15%,0,1,0
10037,Belley,Dans La Rue,Presse Tabac (Hors Bar),54,21%,0,1,0
10038,Belley,Dans La Rue,Presse Tabac (Hors Bar),37,12%,0,1,-1
10039,Belley,Dans La Rue,Presse Tabac (Hors Bar),81,29%,0,1,1
10041,Virieu-le-Grand,Dans La Rue,Enseignes/Concepts,57,22%,0,1,0
10042,Bellignat,Dans La Rue,Presse Tabac (Hors Bar),58,19%,0,1,0
10045,Beynost,Ds Hypermarche,Rayons Hypermarches,61,47%,0,1,1
10050,Bourg-en-Bresse,Dans La Rue,Enseignes/Concepts,56,18%,0,1,0
10051,Bourg-en-Bresse,Dans La Rue,Presse Tabac (Hors Bar),90,33%,0,1,1
10053,Bourg-en-Bresse,Dans La Rue,Enseignes/Concepts,35,11%,0,1,-1
10054,Bourg-en-Bresse,Dans La Rue,Presse Tabac (Hors Bar),82,29%,0,1,1
10055,Bourg-en-Bresse,Dans La Rue,Bars (Dont Tabac),41,13%,0,1,0
10058,Bourg-en-Bresse,Dans La Rue,Presse Tabac (Hors Bar),109,39%,0,1,1
10059,Bourg-en-Bresse,Epicerie,Alimentation,42,14%,0,1,0
10060,Bourg-en-Bresse,Dans La Rue,Enseignes/Concepts,134,44%,0,1,1
10061,Bourg-en-Bresse,Dans La Rue,Bars (Dont Tabac),77,33%,0,1,1
10062,Bourg-en-Bresse,Dans La Rue,Enseignes/Concepts,82,29%,0,1,1
10063,Bourg-en-Bresse,Dans La Rue,Presse Tabac (Hors Bar),7,9%,0,1,-1
10064,Bourg-en-Bresse,Epicerie,Presse Tabac (Hors Bar),92,33%,0,1,1
10065,Bourg-en-Bresse,Dans La Rue,Presse Tabac (Hors Bar),54,21%,0,1,0
10066,Bourg-en-Bresse,Dans La Rue,Presse Tabac (Hors Bar),93,33%,0,1,1
10070,Bourg-en-Bresse,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
10072,Bourg-en-Bresse,Ccial Avec Hyp.,Enseignes/Concepts,51,17%,0,1,0
10073,Bourg-en-Bresse,Dans La Rue,Presse Tabac (Hors Bar),110,39%,0,1,1
10075,Bourg-en-Bresse,Ccial Avec Hyp.,Enseignes/Concepts,61,20%,0,1,0
10076,Bourg-en-Bresse,Ccial Avec Hyp.,Enseignes/Concepts,104,34%,0,1,1
10078,Viriat,Ds Un Hopital,Relais H,58,19%,0,1,0
10079,Saint-Denis-lès-Bourg,Dans La Rue,Presse Tabac (Hors Bar),59,23%,0,1,1
10082,Hauteville-Lompnes,Dans La Rue,Presse Tabac (Hors Bar),51,17%,0,1,0
10087,Ceyzériat,Dans La Rue,Presse Tabac (Hors Bar),9,3%,0,1,-1
10088,Ceyzérieu,Epicerie,Presse Tabac (Hors Bar),8,13%,0,1,0
10089,Chalamont,Dans La Rue,Presse Tabac (Hors Bar),76,30%,0,1,1
10101,Châtillon-sur-Chalaronne,Dans La Rue,Enseignes/Concepts,89,29%,0,1,1
10109,Coligny,Epicerie,Alimentation,47,19%,0,1,0
10121,Culoz,Dans La Rue,Enseignes/Concepts,30,11%,0,1,-1
10123,Dagneux,Dans La Rue,Presse Tabac (Hors Bar),31,21%,0,1,0
10125,Divonne-les-Bains,Dans La Rue,Enseignes/Concepts,10,3%,0,1,-1
10127,Divonne-les-Bains,Dans La Rue,Enseignes/Concepts,34,11%,0,1,-1
