code_dept,Day,Sales,Delivered
01,Dimanche,278.0,944.0
01,Jeudi,39985.0,77593.0
01,Lundi,39512.0,79534.0
01,Mardi,37736.0,77689.0
01,Mercredi,37706.0,77678.0
01,Samedi,28253.0,57059.0
01,Vendredi,24498.0,52973.0
02,Dimanche,123.0,592.0
02,Jeudi,17766.0,37570.0
02,Lundi,18311.0,39909.0
02,Mardi,17805.0,38899.0
02,Mercredi,17794.0,39052.0
02,Samedi,13741.0,28176.0
02,Vendredi,10626.0,22773.0
03,Dimanche,180.0,632.0
03,Jeudi,28977.0,57717.0
03,Lundi,29581.0,61514.0
03,Mardi,28598.0,59305.0
03,Mercredi,28045.0,59873.0
03,Samedi,22777.0,44926.0
03,Vendredi,17128.0,37525.0
04,Dimanche,70.0,434.0
04,Jeudi,20989.0,39016.0
04,Lundi,21827.0,42129.0
04,Mardi,20399.0,39765.0
04,Mercredi,20389.0,40325.0
04,Samedi,15671.0,32925.0
04,Vendredi,12703.0,27267.0
05,Dimanche,56.0,356.0
05,Jeudi,25650.0,47180.0
05,Lundi,25421.0,49310.0
05,Mardi,24958.0,47831.0
05,Mercredi,25269.0,48787.0
05,Samedi,19914.0,39753.0
05,Vendredi,15011.0,31453.0
06,Dimanche,996.0,4151.0
06,Jeudi,267689.0,423226.0
06,Lundi,275890.0,450966.0
06,Mardi,262779.0,431540.0
06,Mercredi,267398.0,439656.0
06,Samedi,199053.0,330732.0
06,Vendredi,159379.0,274929.0
07,Dimanche,111.0,510.0
07,Jeudi,20989.0,40740.0
07,Lundi,21950.0,43908.0
07,Mardi,20995.0,43052.0
07,Mercredi,21082.0,42848.0
07,Samedi,15270.0,30663.0
07,Vendredi,12512.0,26196.0
08,Dimanche,46.0,184.0
08,Jeudi,6088.0,14961.0
08,Lundi,5722.0,14646.0
08,Mardi,5232.0,13187.0
08,Mercredi,5517.0,13794.0
08,Samedi,4558.0,11296.0
08,Vendredi,3674.0,8690.0
09,Dimanche,69.0,283.0
09,Jeudi,12209.0,24876.0
09,Lundi,12161.0,26260.0
09,Mardi,11704.0,25614.0
09,Mercredi,11501.0,25280.0
09,Samedi,9232.0,20892.0
09,Vendredi,7573.0,17843.0
10,Dimanche,106.0,387.0
10,Jeudi,15894.0,31676.0
10,Lundi,15616.0,33890.0
10,Mardi,14737.0,30946.0
10,Mercredi,14908.0,32830.0
10,Samedi,11843.0,23370.0
10,Vendredi,8062.0,18513.0
11,Dimanche,180.0,608.0
11,Jeudi,25641.0,52210.0
11,Lundi,27324.0,56029.0
11,Mardi,25499.0,53684.0
11,Mercredi,25889.0,54449.0
11,Samedi,18764.0,40086.0
11,Vendredi,15331.0,34904.0
12,Dimanche,132.0,621.0
12,Jeudi,26407.0,50982.0
12,Lundi,26404.0,53248.0
12,Mardi,25561.0,51528.0
12,Mercredi,25514.0,52038.0
12,Samedi,19490.0,38993.0
12,Vendredi,16155.0,34606.0
13,Dimanche,1141.0,4166.0
13,Jeudi,236009.0,393785.0
13,Lundi,246974.0,420442.0
13,Mardi,232731.0,401727.0
13,Mercredi,231587.0,404464.0
13,Samedi,157616.0,277906.0
13,Vendredi,139128.0,251532.0
14,Dimanche,532.0,2245.0
14,Jeudi,96473.0,176990.0
14,Lundi,107293.0,195495.0
14,Mardi,95188.0,179317.0
14,Mercredi,93740.0,178438.0
14,Samedi,101041.0,176515.0
14,Vendredi,58880.0,117736.0
15,Dimanche,67.0,254.0
15,Jeudi,13385.0,26415.0
15,Lundi,12552.0,27167.0
15,Mardi,13482.0,27513.0
15,Mercredi,13440.0,27256.0
15,Samedi,9509.0,20553.0
15,Vendredi,8248.0,19160.0
16,Dimanche,110.0,436.0
16,Jeudi,23223.0,45074.0
16,Lundi,23644.0,47890.0
16,Mardi,23129.0,46151.0
16,Mercredi,22789.0,45928.0
16,Samedi,18738.0,36748.0
16,Vendredi,13466.0,29902.0
17,Dimanche,378.0,2105.0
17,Jeudi,108090.0,194501.0
17,Lundi,113644.0,209822.0
17,Mardi,108408.0,200937.0
17,Mercredi,108976.0,200313.0
17,Samedi,90640.0,166395.0
17,Vendredi,61100.0,117251.0
18,Dimanche,140.0,530.0
18,Jeudi,19503.0,41539.0
18,Lundi,20856.0,43986.0
18,Mardi,18607.0,41307.0
18,Mercredi,18386.0,41854.0
18,Samedi,16226.0,35060.0
18,Vendredi,12130.0,28193.0
19,Dimanche,145.0,561.0
19,Jeudi,20874.0,41715.0
19,Lundi,20947.0,44057.0
19,Mardi,20527.0,42714.0
19,Mercredi,19947.0,42393.0
19,Samedi,15610.0,32229.0
19,Vendredi,11622.0,27300.0
20,Dimanche,239.0,1314.0
20,Jeudi,76888.0,130849.0
20,Lundi,78623.0,139187.0
20,Mardi,74416.0,131678.0
20,Mercredi,76515.0,133965.0
20,Samedi,59486.0,109796.0
20,Vendredi,40612.0,77482.0
21,Dimanche,275.0,542.0
21,Jeudi,49708.0,93147.0
21,Lundi,50292.0,97388.0
21,Mardi,47833.0,93756.0
21,Mercredi,48313.0,92663.0
21,Samedi,40239.0,74672.0
21,Vendredi,29789.0,60389.0
22,Dimanche,251.0,1097.0
22,Jeudi,59546.0,108063.0
22,Lundi,61543.0,114715.0
22,Mardi,58062.0,108973.0
22,Mercredi,57588.0,108678.0
22,Samedi,47950.0,84197.0
22,Vendredi,33220.0,63768.0
23,Dimanche,44.0,159.0
23,Jeudi,7341.0,15731.0
23,Lundi,7342.0,16164.0
23,Mardi,6996.0,15574.0
23,Mercredi,6992.0,15781.0
23,Samedi,6324.0,13335.0
23,Vendredi,4091.0,9717.0
24,Dimanche,177.0,969.0
24,Jeudi,41277.0,80319.0
24,Lundi,41457.0,83449.0
24,Mardi,41134.0,82014.0
24,Mercredi,41488.0,83118.0
24,Samedi,31774.0,65055.0
24,Vendredi,22970.0,51061.0
25,Dimanche,146.0,618.0
25,Jeudi,21711.0,46544.0
25,Lundi,20914.0,48799.0
25,Mardi,20462.0,47554.0
25,Mercredi,20600.0,46798.0
25,Samedi,15098.0,34754.0
25,Vendredi,13225.0,32077.0
26,Dimanche,251.0,874.0
26,Jeudi,41906.0,76400.0
26,Lundi,43058.0,81168.0
26,Mardi,40622.0,78165.0
26,Mercredi,40464.0,77605.0
26,Samedi,30258.0,55596.0
26,Vendredi,24116.0,47040.0
27,Dimanche,360.0,1645.0
27,Jeudi,48100.0,94579.0
27,Lundi,51866.0,102246.0
27,Mardi,49312.0,99017.0
27,Mercredi,47244.0,95904.0
27,Samedi,50026.0,95818.0
27,Vendredi,29387.0,64228.0
28,Dimanche,176.0,798.0
28,Jeudi,30017.0,60992.0
28,Lundi,33274.0,67231.0
28,Mardi,29897.0,64370.0
28,Mercredi,29877.0,63206.0
28,Samedi,31547.0,61880.0
28,Vendredi,19164.0,43694.0
29,Dimanche,399.0,1487.0
29,Jeudi,76757.0,143127.0
29,Lundi,78668.0,155509.0
29,Mardi,74228.0,146718.0
29,Mercredi,73816.0,147126.0
29,Samedi,57737.0,103711.0
29,Vendredi,41791.0,80750.0
30,Dimanche,332.0,1183.0
30,Jeudi,63680.0,120148.0
30,Lundi,66897.0,129650.0
30,Mardi,62013.0,123223.0
30,Mercredi,61449.0,123145.0
30,Samedi,46850.0,88681.0
30,Vendredi,36352.0,73574.0
31,Dimanche,627.0,2266.0
31,Jeudi,112588.0,197976.0
31,Lundi,117542.0,212525.0
31,Mardi,109163.0,201991.0
31,Mercredi,111591.0,206652.0
31,Samedi,74448.0,139435.0
31,Vendredi,63242.0,124884.0
32,Dimanche,108.0,400.0
32,Jeudi,17643.0,33902.0
32,Lundi,17405.0,36394.0
32,Mardi,17084.0,35201.0
32,Mercredi,17317.0,35111.0
32,Samedi,11489.0,25217.0
32,Vendredi,10123.0,22346.0
33,Dimanche,773.0,3201.0
33,Jeudi,149925.0,277716.0
33,Lundi,155043.0,296176.0
33,Mardi,145091.0,277401.0
33,Mercredi,146738.0,281667.0
33,Samedi,112125.0,210810.0
33,Vendredi,74818.0,156654.0
34,Dimanche,553.0,2166.0
34,Jeudi,112378.0,213028.0
34,Lundi,117739.0,229602.0
34,Mardi,108516.0,217506.0
34,Mercredi,109103.0,217880.0
34,Samedi,78755.0,154251.0
34,Vendredi,66717.0,135016.0
35,Dimanche,425.0,1601.0
35,Jeudi,78155.0,139890.0
35,Lundi,80156.0,152315.0
35,Mardi,74396.0,142110.0
35,Mercredi,74223.0,142516.0
35,Samedi,64519.0,109927.0
35,Vendredi,43999.0,82911.0
36,Dimanche,102.0,346.0
36,Jeudi,15663.0,33455.0
36,Lundi,17620.0,37817.0
36,Mardi,15893.0,34958.0
36,Mercredi,15633.0,34980.0
36,Samedi,15052.0,30802.0
36,Vendredi,10270.0,24181.0
37,Dimanche,278.0,953.0
37,Jeudi,51552.0,99290.0
37,Lundi,53806.0,106759.0
37,Mardi,49981.0,101492.0
37,Mercredi,49394.0,100964.0
37,Samedi,41466.0,79530.0
37,Vendredi,28817.0,62722.0
38,Dimanche,490.0,1694.0
38,Jeudi,81403.0,156529.0
38,Lundi,84104.0,165336.0
38,Mardi,79873.0,160263.0
38,Mercredi,79512.0,159031.0
38,Samedi,60203.0,117986.0
38,Vendredi,51209.0,106435.0
39,Dimanche,100.0,390.0
39,Jeudi,14278.0,30509.0
39,Lundi,15013.0,32855.0
39,Mardi,14122.0,31388.0
39,Mercredi,13328.0,30769.0
39,Samedi,11880.0,25704.0
39,Vendredi,7718.0,20917.0
40,Dimanche,246.0,1169.0
40,Jeudi,53559.0,99309.0
40,Lundi,55554.0,106340.0
40,Mardi,53387.0,102548.0
40,Mercredi,53954.0,102148.0
40,Samedi,40643.0,81035.0
40,Vendredi,29880.0,64527.0
41,Dimanche,203.0,829.0
41,Jeudi,31186.0,63938.0
41,Lundi,32965.0,66930.0
41,Mardi,30226.0,64178.0
41,Mercredi,29995.0,63807.0
41,Samedi,34633.0,66086.0
41,Vendredi,17977.0,40193.0
42,Dimanche,220.0,825.0
42,Jeudi,33957.0,69141.0
42,Lundi,32661.0,70195.0
42,Mardi,31974.0,68248.0
42,Mercredi,31814.0,69376.0
42,Samedi,22140.0,47795.0
42,Vendredi,18605.0,43772.0
43,Dimanche,99.0,330.0
43,Jeudi,14077.0,27976.0
43,Lundi,13998.0,29693.0
43,Mardi,13645.0,28778.0
43,Mercredi,13645.0,29366.0
43,Samedi,12094.0,23760.0
43,Vendredi,7616.0,18653.0
44,Dimanche,591.0,2146.0
44,Jeudi,137597.0,242283.0
44,Lundi,145376.0,262783.0
44,Mardi,134929.0,245787.0
44,Mercredi,136136.0,248380.0
44,Samedi,107510.0,185738.0
44,Vendredi,75126.0,142479.0
45,Dimanche,330.0,1187.0
45,Jeudi,50099.0,98574.0
45,Lundi,55448.0,109397.0
45,Mardi,48015.0,98113.0
45,Mercredi,48461.0,97014.0
45,Samedi,47211.0,90493.0
45,Vendredi,30808.0,65883.0
46,Dimanche,110.0,519.0
46,Jeudi,24325.0,47618.0
46,Lundi,23994.0,50214.0
46,Mardi,24511.0,49529.0
46,Mercredi,24589.0,50018.0
46,Samedi,19844.0,41416.0
46,Vendredi,13965.0,33157.0
47,Dimanche,107.0,442.0
47,Jeudi,22443.0,46140.0
47,Lundi,22809.0,48690.0
47,Mardi,21252.0,46117.0
47,Mercredi,21500.0,46265.0
47,Samedi,15289.0,35091.0
47,Vendredi,13633.0,31347.0
48,Dimanche,19.0,99.0
48,Jeudi,6812.0,14125.0
48,Lundi,6745.0,14721.0
48,Mardi,6608.0,14517.0
48,Mercredi,6998.0,14949.0
48,Samedi,5404.0,12137.0
48,Vendredi,4889.0,11581.0
49,Dimanche,289.0,1117.0
49,Jeudi,43110.0,87089.0
49,Lundi,45388.0,93949.0
49,Mardi,41729.0,86894.0
49,Mercredi,42160.0,88811.0
49,Samedi,30735.0,57661.0
49,Vendredi,24424.0,50168.0
50,Dimanche,187.0,968.0
50,Jeudi,44231.0,88850.0
50,Lundi,46990.0,97403.0
50,Mardi,43414.0,91614.0
50,Mercredi,42690.0,91034.0
50,Samedi,38246.0,72599.0
50,Vendredi,23497.0,52139.0
51,Dimanche,129.0,509.0
51,Jeudi,24457.0,51314.0
51,Lundi,25691.0,55017.0
51,Mardi,23940.0,52467.0
51,Mercredi,24534.0,51796.0
51,Samedi,17866.0,38173.0
51,Vendredi,13104.0,30086.0
52,Dimanche,40.0,110.0
52,Jeudi,7421.0,17761.0
52,Lundi,7466.0,16898.0
52,Mardi,6980.0,16669.0
52,Mercredi,7296.0,17111.0
52,Samedi,5192.0,12024.0
52,Vendredi,4216.0,10696.0
53,Dimanche,69.0,285.0
53,Jeudi,10319.0,24413.0
53,Lundi,11485.0,28071.0
53,Mardi,10721.0,26030.0
53,Mercredi,10282.0,26007.0
53,Samedi,7810.0,17321.0
53,Vendredi,5762.0,14502.0
54,Dimanche,181.0,602.0
54,Jeudi,26242.0,56755.0
54,Lundi,26007.0,59475.0
54,Mardi,24656.0,56569.0
54,Mercredi,24314.0,55617.0
54,Samedi,17515.0,36808.0
54,Vendredi,15501.0,35719.0
55,Dimanche,28.0,82.0
55,Jeudi,3465.0,9104.0
55,Lundi,3880.0,9803.0
55,Mardi,3595.0,9252.0
55,Mercredi,3712.0,9786.0
55,Samedi,3049.0,8091.0
55,Vendredi,2529.0,7558.0
56,Dimanche,370.0,2071.0
56,Jeudi,96399.0,187688.0
56,Lundi,102037.0,203775.0
56,Mardi,95388.0,192148.0
56,Mercredi,96515.0,195027.0
56,Samedi,83700.0,158509.0
56,Vendredi,52057.0,111218.0
57,Dimanche,231.0,815.0
57,Jeudi,31270.0,66023.0
57,Lundi,31266.0,70583.0
57,Mardi,29947.0,66797.0
57,Mercredi,30244.0,67960.0
57,Samedi,23747.0,51979.0
57,Vendredi,21263.0,49645.0
58,Dimanche,110.0,422.0
58,Jeudi,18619.0,35904.0
58,Lundi,19317.0,39003.0
58,Mardi,18818.0,37118.0
58,Mercredi,17618.0,36780.0
58,Samedi,16061.0,32914.0
58,Vendredi,11292.0,25212.0
59,Dimanche,700.0,2060.0
59,Jeudi,87999.0,175934.0
59,Lundi,93494.0,194056.0
59,Mardi,84277.0,176695.0
59,Mercredi,87002.0,181834.0
59,Samedi,66823.0,130785.0
59,Vendredi,48920.0,101992.0
60,Dimanche,232.0,1071.0
60,Jeudi,45137.0,84233.0
60,Lundi,50920.0,96095.0
60,Mardi,44908.0,87185.0
60,Mercredi,47622.0,90815.0
60,Samedi,47644.0,83194.0
60,Vendredi,28443.0,54680.0
61,Dimanche,115.0,658.0
61,Jeudi,23527.0,47062.0
61,Lundi,24254.0,49488.0
61,Mardi,23008.0,47830.0
61,Mercredi,23391.0,48268.0
61,Samedi,24017.0,46265.0
61,Vendredi,13178.0,31184.0
62,Dimanche,301.0,1262.0
62,Jeudi,46903.0,96901.0
62,Lundi,50832.0,108429.0
62,Mardi,45070.0,96966.0
62,Mercredi,45411.0,96522.0
62,Samedi,42552.0,85453.0
62,Vendredi,26944.0,62278.0
63,Dimanche,296.0,917.0
63,Jeudi,36610.0,74861.0
63,Lundi,37505.0,81288.0
63,Mardi,35706.0,78393.0
63,Mercredi,35646.0,78260.0
63,Samedi,24719.0,50420.0
63,Vendredi,21796.0,48737.0
64,Dimanche,457.0,2234.0
64,Jeudi,119808.0,201295.0
64,Lundi,123564.0,215967.0
64,Mardi,116613.0,205563.0
64,Mercredi,117545.0,206261.0
64,Samedi,96335.0,166595.0
64,Vendredi,65535.0,122667.0
65,Dimanche,121.0,509.0
65,Jeudi,25127.0,50488.0
65,Lundi,25654.0,53781.0
65,Mardi,24492.0,51483.0
65,Mercredi,25247.0,52571.0
65,Samedi,20615.0,44040.0
65,Vendredi,16537.0,38157.0
66,Dimanche,207.0,1010.0
66,Jeudi,52939.0,102382.0
66,Lundi,55948.0,110430.0
66,Mardi,52462.0,105276.0
66,Mercredi,52896.0,106142.0
66,Samedi,36893.0,73915.0
66,Vendredi,32887.0,67912.0
67,Dimanche,300.0,1006.0
67,Jeudi,54427.0,104799.0
67,Lundi,56523.0,111286.0
67,Mardi,50415.0,103557.0
67,Mercredi,51254.0,105316.0
67,Samedi,37082.0,75285.0
67,Vendredi,31726.0,65312.0
68,Dimanche,146.0,684.0
68,Jeudi,28923.0,57814.0
68,Lundi,30362.0,61896.0
68,Mardi,26855.0,58361.0
68,Mercredi,27143.0,57729.0
68,Samedi,22525.0,45028.0
68,Vendredi,19438.0,41004.0
69,Dimanche,1273.0,3905.0
69,Jeudi,225022.0,375885.0
69,Lundi,238336.0,402634.0
69,Mardi,220017.0,376054.0
69,Mercredi,230785.0,391436.0
69,Samedi,159757.0,264019.0
69,Vendredi,134699.0,237995.0
70,Dimanche,41.0,189.0
70,Jeudi,6100.0,14063.0
70,Lundi,6486.0,15743.0
70,Mardi,6106.0,14286.0
70,Mercredi,5908.0,14081.0
70,Samedi,4225.0,10484.0
70,Vendredi,4096.0,9876.0
71,Dimanche,142.0,783.0
71,Jeudi,38358.0,79450.0
71,Lundi,40710.0,85040.0
71,Mardi,38091.0,81947.0
71,Mercredi,37318.0,80407.0
71,Samedi,31491.0,64360.0
71,Vendredi,20155.0,48098.0
72,Dimanche,181.0,788.0
72,Jeudi,30492.0,59849.0
72,Lundi,33108.0,67444.0
72,Mardi,29728.0,61932.0
72,Mercredi,29602.0,60870.0
72,Samedi,22921.0,43884.0
72,Vendredi,18713.0,39521.0
73,Dimanche,194.0,736.0
73,Jeudi,72854.0,130751.0
73,Lundi,77190.0,143947.0
73,Mardi,72826.0,137521.0
73,Mercredi,73755.0,136810.0
73,Samedi,58161.0,105064.0
73,Vendredi,40785.0,84923.0
74,Dimanche,451.0,1892.0
74,Jeudi,114265.0,202054.0
74,Lundi,117238.0,212960.0
74,Mardi,110646.0,204120.0
74,Mercredi,112175.0,207197.0
74,Samedi,95462.0,170406.0
74,Vendredi,63803.0,125582.0
75,Dimanche,6169.0,20402.0
75,Jeudi,1495201.0,2081818.0
75,Lundi,1495974.0,2127261.0
75,Mardi,1459456.0,2075008.0
75,Mercredi,1744749.0,2376779.0
75,Samedi,1132148.0,1599001.0
75,Vendredi,930630.0,1368368.0
76,Dimanche,551.0,1926.0
76,Jeudi,82445.0,158086.0
76,Lundi,85138.0,167230.0
76,Mardi,80874.0,161632.0
76,Mercredi,81580.0,161148.0
76,Samedi,65615.0,131505.0
76,Vendredi,52439.0,108633.0
77,Dimanche,359.0,1792.0
77,Jeudi,87723.0,168192.0
77,Lundi,98708.0,188062.0
77,Mardi,88667.0,175497.0
77,Mercredi,95067.0,180594.0
77,Samedi,90608.0,160766.0
77,Vendredi,58271.0,113838.0
78,Dimanche,1309.0,6213.0
78,Jeudi,273850.0,424780.0
78,Lundi,283652.0,438681.0
78,Mardi,276230.0,437348.0
78,Mercredi,308833.0,473599.0
78,Samedi,288018.0,432480.0
78,Vendredi,172280.0,285908.0
79,Dimanche,75.0,287.0
79,Jeudi,11415.0,26021.0
79,Lundi,12005.0,29091.0
79,Mardi,11178.0,27159.0
79,Mercredi,10747.0,26377.0
79,Samedi,7922.0,18140.0
79,Vendredi,6015.0,16572.0
80,Dimanche,163.0,481.0
80,Jeudi,23124.0,49781.0
80,Lundi,23455.0,53032.0
80,Mardi,21927.0,49898.0
80,Mercredi,21854.0,48321.0
80,Samedi,18591.0,39603.0
80,Vendredi,13514.0,32836.0
81,Dimanche,201.0,661.0
81,Jeudi,31066.0,57621.0
81,Lundi,31184.0,61954.0
81,Mardi,30422.0,59892.0
81,Mercredi,29754.0,59201.0
81,Samedi,23442.0,44766.0
81,Vendredi,18108.0,37951.0
82,Dimanche,97.0,328.0
82,Jeudi,16728.0,33455.0
82,Lundi,17427.0,36498.0
82,Mardi,16274.0,34823.0
82,Mercredi,16256.0,34842.0
82,Samedi,12099.0,26899.0
82,Vendredi,10756.0,24285.0
83,Dimanche,802.0,3902.0
83,Jeudi,263139.0,414289.0
83,Lundi,273419.0,438329.0
83,Mardi,264015.0,428864.0
83,Mercredi,266235.0,431089.0
83,Samedi,205574.0,338004.0
83,Vendredi,151081.0,259458.0
84,Dimanche,393.0,1396.0
84,Jeudi,80824.0,148105.0
84,Lundi,87212.0,157559.0
84,Mardi,81561.0,152480.0
84,Mercredi,79053.0,150881.0
84,Samedi,61533.0,111846.0
84,Vendredi,44501.0,85933.0
85,Dimanche,236.0,1228.0
85,Jeudi,66768.0,124707.0
85,Lundi,70675.0,134372.0
85,Mardi,67176.0,128082.0
85,Mercredi,67536.0,129292.0
85,Samedi,57190.0,105099.0
85,Vendredi,39163.0,78653.0
86,Dimanche,162.0,519.0
86,Jeudi,27709.0,52376.0
86,Lundi,29475.0,56299.0
86,Mardi,27983.0,53531.0
86,Mercredi,27898.0,54169.0
86,Samedi,20378.0,38709.0
86,Vendredi,15267.0,30162.0
87,Dimanche,181.0,833.0
87,Jeudi,35963.0,70045.0
87,Lundi,37285.0,74440.0
87,Mardi,35932.0,71471.0
87,Mercredi,35678.0,71727.0
87,Samedi,26748.0,51808.0
87,Vendredi,17951.0,38221.0
88,Dimanche,80.0,430.0
88,Jeudi,18628.0,39300.0
88,Lundi,18289.0,41625.0
88,Mardi,16807.0,36927.0
88,Mercredi,17248.0,38600.0
88,Samedi,13579.0,30989.0
88,Vendredi,11176.0,27698.0
89,Dimanche,211.0,1002.0
89,Jeudi,34765.0,66701.0
89,Lundi,36835.0,72672.0
