code_dept,Ruptures_sum,Ruptures_mean
,,
D01,10152,0.2326466072369778
D02,5605,0.2418971990850632
D03,6086,0.19630991548932328
D04,4506,0.20822550831792977
D05,5321,0.22508460236886632
D06,17436,0.18007745933384972
D07,7218,0.24335805799055968
D08,2411,0.22661904314315257
D09,3531,0.20561346299423514
D10,4319,0.21352647451426313
D11,6916,0.19330855018587362
D12,5566,0.18620366653285159
D13,19415,0.16350299804621707
D14,12956,0.20076861092171325
D15,2957,0.1983764926875084
D16,5424,0.194311098373576
D17,10358,0.15731599890647308
D18,4922,0.205460010018367
D19,5348,0.1911023762730034
D20,10366,0.22025795210675053
D21,8636,0.19996295267203854
D22,9547,0.22995953367376434
D23,2057,0.19947633824670288
D24,8306,0.1859038922088677
D25,7466,0.2269438871663931
D26,10467,0.23771348110465115
D27,10067,0.22589476046224616
D28,8693,0.2454748256290063
D29,15175,0.2215522527520659
D30,11166,0.19659489057520643
D31,13819,0.16806324110671936
D32,3981,0.1985932355582161
D33,16604,0.14736057368028685
D34,21605,0.20045834957041325
D35,14012,0.24403072153816682
D36,4172,0.19831725055853971
D37,8227,0.1780543231252029
D38,17653,0.23073404088461338
D39,4173,0.21367127496159755
D40,7922,0.17422093202260783
D41,9367,0.2538482384823848
D42,8418,0.203402116657807
D43,4364,0.20837511340304637
D44,15689,0.18582697683233051
D45,11320,0.23006259653686692
D46,4428,0.18641070977519575
D47,5554,0.19112181693048863
D48,2094,0.2375496313102666
D49,11389,0.2359338747099768
D50,8980,0.18583283322641392
D51,6650,0.22206638616175783
D52,3111,0.2630199526547176
D53,4704,0.24350346826793665
D54,6215,0.2116176921243488
D55,1587,0.21980609418282548
D56,8322,0.12286659186204453
D57,10263,0.23976171008059807
D58,3677,0.20976667237149865
D59,16815,0.20878083909658673
D60,6063,0.1770322354590049
D61,6542,0.24475289011934603
D62,11922,0.2225707084850182
D63,8126,0.1981274686692349
D64,11808,0.1690818489031445
D65,5702,0.19934274926583695
D66,9613,0.19651253117461875
D67,12153,0.23165338721360224
D68,6749,0.22106125122830003
D69,24889,0.2088897095233699
D70,2219,0.19682455206670216
D71,11796,0.23096352280069704
D72,8563,0.23041735059064122
D73,10367,0.214513325608343
D74,14157,0.203835687443307
D75,34431,0.1768776327956437
D76,13378,0.1999671155887057
D77,13798,0.20101981351981352
D78,12167,0.14569861570148968
D79,4701,0.22271176805002843
D80,5890,0.2079949148951197
D81,6202,0.18876308741173606
D82,4234,0.20501646329653303
D83,19093,0.19679244699601117
D84,10269,0.19603313989004276
D85,11541,0.20462765957446807
D86,6552,0.21640188922284243
D87,8187,0.2000733137829912
D88,4351,0.19142102947646283
D89,8228,0.24228504122497055
D90,1320,0.21681997371879105
D91,12613,0.1920517700799391
D92,8743,0.12265540606893843
D93,10046,0.19826718506384575
D94,11080,0.1818689165011572
D95,10137,0.18083702012273442
